영화명,영화명(영어),제작연도,국적,유형,장르,제작상태,감독,제작사
섹스 헬스장,,2018,한국,장편,드라마,개봉,박은석,(주)씨맥스커뮤니케이션즈
파이트 클럽: 미녀들의 토너먼트 ,Kiss Kiss,2019,미국,장편,액션,개봉,,
캐빈 오브 더 컨저링,Before Someone Gets Hurt,2018,미국,장편,공포(호러),개봉,,
세부야놀자,,2019,한국,장편,성인물(에로),개봉,김레이,엔트리커뮤니케이션즈
살맛,,2019,한국,장편,성인물(에로),개봉,김레이,엔트리커뮤니케이션즈
욕정 터진 유부녀들 ,Must Obey Your Order,2019,일본,장편,"드라마,멜로/로맨스",개봉,,
누나의맛 무삭제판,,2019,한국,장편,기타,개봉,미스터빽,(주)담화
텔 잇 투 더 비즈,Tell It to the Bees,2018,영국,장편,드라마,개봉,아나벨 얀켈,
매튜 본의 백조의 호수,Matthew Bourne's SWAN LAKE,2019,영국,장편,공연,개봉,,
프렌드 존,Friend Zone,2019,태국,장편,"멜로/로맨스,코미디",개봉,차야놉 분프라콥,
빅 위시,SALMAS BIG WISH,2019,멕시코,장편,"판타지,애니메이션,어드벤처",개봉,,
빅 2: 황금열쇠 대소동,Norm of the North: Keys to the Kingdom,2017,인도,장편,"애니메이션,가족,코미디,어드벤처",개봉,,
착한 제수씨 - 감독판,,2019,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
착한 며느리와 시아버지,,2019,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
애인 교환의 날,,2019,한국,장편,멜로/로맨스,개봉,이재금,(주)소나무픽쳐스
불륜: 아내 친구 - 감독판,,2019,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
극한수업,,2019,한국,장편,드라마,개봉,최성은,(주)영화사히트
탐스런 옆집아내,,2019,한국,장편,"드라마,멜로/로맨스",개봉,한동연,(주)가온콘텐츠
맛있는 섹스 그리고 여군 무삭제,,2019,한국,장편,드라마,개봉,윤중부,(주)씨맥스커뮤니케이션즈
배틀 래틀,Battle Rattle,2017,미국,장편,"전쟁,액션",개봉,사무엘 곤잘레스 주니어,
아내의알바,,2019,한국,장편,"드라마,멜로/로맨스",개봉,최정자,(주)가온콘텐츠
카르텔 2045,Cartel 2045,2017,미국,장편,"액션,어드벤처,SF",개봉,,
스페셜 솔져,AMERICAN BULLET,2019,"미국,이탈리아",장편,"전쟁,액션",개봉,"브랜도 베네통,마리엘 우즈",
바디 오브 씬,Body of Sin,2018,미국,장편,"범죄,스릴러",개봉,"아마리아 올슨,오빈 올슨",
보도드라이버: 풀코스 무삭제판,,2019,한국,장편,성인물(에로),개봉,김덕,두리컴
다락방의 저주,The Attic,2017,태국,장편,공포(호러),개봉,,
변신,Metamorphosis,2019,한국,장편,"공포(호러),스릴러",개봉,김홍선,(주)다나크리에이티브
이스케이프 게임,Lockdown,2017,독일,장편,스릴러,개봉,보그다나 베라 로렌츠,
사장님 한 번 더 해요,,2018,한국,장편,드라마,개봉,박은석,(주)씨맥스커뮤니케이션즈
강남 며느리,,2019,한국,장편,"멜로/로맨스,드라마",개봉,이상수,영드래곤 미디어
퀸 오브 하츠,Queen of Hearts,2018,덴마크,장편,드라마,개봉,,
불량탐정 : 리로드,,2019,한국,장편,기타,개봉,리차드 킴,(주)액티버스엔터테인먼트
합의된 관계,,2018,일본,장편,성인물(에로),개봉,,
온천에서 생긴 은밀한 속사정,,2018,일본,장편,성인물(에로),개봉,,
맘,MOM,2017,인도,장편,"드라마,스릴러",개봉,라비 우드야와르,
나를 노리는 처형,,2019,일본,장편,성인물(에로),개봉,,
과외선생과 성적의 관계,,2016,일본,장편,성인물(에로),개봉,,
젊은 장모에게 정사를 들킨 날,Too Dirty Mother-in-Law 3,2019,일본,장편,성인물(에로),개봉,,
인 더 더스트,Just a Breath Away,2018,프랑스,장편,SF,개봉,다니엘 로비,
의처증 남편의 음탕한 아내,,2013,일본,장편,멜로/로맨스,개봉,카사이 마사히로,
온천보다 뜨거운 여주인의 특별한서비스,,2018,일본,장편,멜로/로맨스,개봉,히무 롯쿠,
망상으로 흥분하는 오피스레이디,,2016,일본,장편,멜로/로맨스,개봉,아라시야마 미치루,
마음껏 느끼는 바람난 아내,,2016,일본,장편,멜로/로맨스,개봉,코자카이 토오루,
공짜 키스방 무삭제,,2019,한국,장편,드라마,개봉,윤중부,(주)씨맥스커뮤니케이션즈
내겐 너무 아찔한 새엄마,,2016,일본,장편,멜로/로맨스,개봉,아사기리 조,
욕망의 쉐어하우스,,2018,일본,장편,멜로/로맨스,개봉,아카바네 키쿠지로,
전 남친에게 뺏긴 약혼녀,,2018,일본,장편,멜로/로맨스,개봉,히무 롯쿠,
이유있는 불륜,,2016,일본,장편,멜로/로맨스,개봉,아라시야마 미치루,
유부남의 미소녀 사육기,,2013,일본,장편,멜로/로맨스,개봉,헤이키 치로,
수상한 우리숙모,,2019,일본,장편,멜로/로맨스,개봉,아사기리 조,
"낯선 남편, 익숙한 X",,2015,일본,장편,멜로/로맨스,개봉,헤이키 치로,
불륜: 아내 친구,,2019,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
전망 좋은 집: 맛있는 섹스,Loving Hot,2016,태국,장편,멜로/로맨스,개봉,,
익스페트리어트,ExPatriot,2017,미국,장편,스릴러,개봉,코너 알린,
여배우: 섹스수업 무삭제판,,2018,한국,장편,멜로/로맨스,개봉,노승택,(주)제이에이와이이엔터테인먼트
딸의 친구 4 - 무삭제판,,2019,한국,장편,멜로/로맨스,개봉,김태수,(주)컨텐츠 빌리지
5분 운동 30분 섹스,,2018,한국,장편,드라마,개봉,박은석,(주)씨맥스커뮤니케이션즈
아내의 음란한 유혹 ,,2019,한국,장편,"성인물(에로),멜로/로맨스",개봉,이지은,(주)메이크아트
자매의 노예,,2019,한국,장편,성인물(에로),개봉,김레리,노바엔터테인먼트 
완벽한 타인 : 비밀의 스와핑 ,,2019,한국,장편,"성인물(에로),멜로/로맨스",개봉,이지은,(주)메이크아트
여자 동창생들,,2018,한국,장편,멜로/로맨스,개봉,김종민,(주)영화사가을
혜경궁 홍씨,,2015,한국,장편,"공연,사극,드라마",개봉,장동홍,(주)컴퍼니 숨
청담보살,Fortune Salon,2009,한국,장편,"멜로/로맨스,코미디",개봉,김진영,(주)전망좋은 영화사
친구엄마 : 하고 싶은 날 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김진수,(주)영화사가을
아내의유혹,,2019,한국,장편,멜로/로맨스,개봉,천성준,에이원 미디어
스와핑 : 두자매 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김진수,(주)영화사가을
먹거나 먹히거나,Dog Eat Dog,2017,미국,장편,"액션,범죄,드라마",개봉,폴 슈레이더,
남편보다 잘하는 도련님 무삭제판,OTTOWA KITTO KIDUITERU,2019,일본,장편,"드라마,멜로/로맨스",개봉,니쿠 미코토,
고골: 악령과의 전쟁,Gogol.VIY,2018,러시아,장편,"미스터리,판타지",개봉,예고르 바라노프,
나의 알바인생,,2020,한국,장편,드라마,촬영진행,유동국,주식회사 엔이엔터테인먼트
스노우 화이트,Pure As Snow,2019,프랑스,장편,드라마,개봉,앤 폰테인,
음탕한 여자-풍기는 밤꽃향기,KOUSYUUBENNJYONOHURINNDUMA,2018,일본,장편,"멜로/로맨스,드라마",개봉,야마다 친,
음란한 피-젖어버린 침대,DASYUJINNKAKUNOTUMA,2018,일본,장편,"멜로/로맨스,드라마",개봉,히이라기 엔부,
육체교실:미모의 여선생,HUNDOSISENSEI,2018,일본,장편,"멜로/로맨스,드라마",개봉,시진 유지,
웰컴 투 스웨덴,Kingdom of Sweden,2018,스웨덴,장편,코미디,개봉,피터 달,
워 이베이젼,ESCAPE AND EVASION,2019,호주,장편,"전쟁,액션",개봉,스톰 애쉬우드,
너의 결혼식,On Your Wedding Day,2017,한국,장편,멜로/로맨스,개봉,이석근,"(주)필름케이,(주)외유내강"
여대생 출장맛사지 무삭제판,,2019,한국,장편,멜로/로맨스,개봉,천성준,(주)케이피에이기획
시크릿 슈퍼스타,Secret Superstar,2017,인도,장편,"코미디,드라마",개봉,애드바이트 찬단,
새엄마-질펀한 하루,BIDARAGIBONOYUUWAKU-08,2018,일본,장편,"멜로/로맨스,드라마",개봉,코메이,
버스데이 원더랜드,THE WONDER,2019,일본,장편,"애니메이션,판타지",개봉,하라 케이이치,
며느리의 남자,,2019,한국,장편,멜로/로맨스,개봉,김환,(주)영화사가을
너는 펫-새엄마의 취향,BOKUNOBEXTUNOGIBO-01,2018,일본,장편,"멜로/로맨스,드라마",개봉,히이라기 엔부,
과부 새엄마:좋아서 우는 그녀,EROMIBOUJIN-01,2018,일본,장편,"멜로/로맨스,드라마",개봉,시진 유지,
경계선,Border,2018,"스웨덴,덴마크",장편,"판타지,멜로/로맨스",개봉,알리 아바시,
람보 : 라스트 워,Rambo: Last Blood,2019,미국,장편,액션,개봉,애드리언 그런버그,
착한 형수 : 참을 수 없는 날 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김진수,(주)영화사가을
화분,The Pollen of Flowers,1972,한국,장편,미스터리,개봉,하길종,대양필름(주)
내 첫경험은 친구엄마,Mother of best friend,2019,일본,장편,"성인물(에로),드라마",개봉,오자키 히로코우지,
몽상가들,The Dreamers,2003,프랑스,장편,"드라마,멜로/로맨스",개봉,베르나르도 베르톨루치,더 레코디드 픽쳐 프로덕션
술 취해 잠든 귀여운 여친,Reunion for the first time in 5 years,2019,일본,장편,"성인물(에로),드라마",개봉,오자키 히로코우지,
사범,The Master : Leaders of Taekwondo,2018,한국,장편,다큐멘터리,개봉,조동희,(주)26컴퍼니
형수의 엉덩이,,2019,한국,장편,성인물(에로),개봉,제임스 오,솔앤드 주식회사
우리 누나 친구,,2019,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
비가오면 하고싶다,,2019,한국,장편,성인물(에로),개봉,제임스 오,솔앤드 주식회사
정사 : 엄마친구,,2019,한국,장편,멜로/로맨스,개봉,김환,(주)영화사가을
젊은친구엄마,,2019,한국,장편,멜로/로맨스,개봉,최성길,스마일컨텐츠
복상사 미망인을 탐하는 남자들,,2018,한국,장편,성인물(에로),개봉,제임스 오,솔앤드 주식회사
내 아내를 과장이 후렸다,,2018,한국,장편,성인물(에로),개봉,제임스 오,솔앤드 주식회사
형수:위험한 취향,SITUKERARETAWATASI,2018,일본,장편,"멜로/로맨스,드라마",개봉,야마다 친,
커다랗고 커다랗고 커다란 배,The Incredible Story of the Giant Pear,2017,덴마크,장편,애니메이션,개봉,"필립 립스키,요르겐 레르담",
친절한 금자씨,Sympathy for Lady Vengeance,2005,한국,장편,스릴러,개봉,박찬욱,모호필름
와일드 로즈,Wild Rose,2018,영국,장편,드라마,개봉,톰 하퍼,
아내의 교환섹스 무삭제판,,2019,한국,장편,멜로/로맨스,개봉,천성준,(주)케이피에이기획
어벤져스 오브 저스티스,Avengers of Justice: Farce Wars,2018,미국,장편,액션,개봉,자렛 타놀,
식모-아내의 친구,,2019,한국,장편,"멜로/로맨스,드라마",개봉,노현진,(주)나우콘텐츠
블러드 심플,Blood Simple,1998,미국,장편,"범죄,드라마,스릴러",개봉,조엘 코엔,
말레피센트 2,Maleficent: Mistress of Evil,2019,미국,장편,"어드벤처,가족,판타지",개봉,요아킴 뢰닝,
능숙한 아줌마-쾌락의 손기술,AISITARIARUDAXTUTIDORU,2018,일본,장편,"멜로/로맨스,드라마",개봉,야마다 친,
꼬마 자전거 스피디,Bikes,2018,스페인,장편,"애니메이션,어드벤처",개봉,마누엘 J. 가르시아,
콘택트: 지구 최후의 날,His Master’s Voice,2018,캐나다,장편,"SF,액션",개봉,기요로기 폴피,
젊은 과부,,2019,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
선생님을 위한 특급 서비스,TUMASIXTUKAKU-05,2018,일본,장편,"멜로/로맨스,드라마",개봉,마츠모토 미노루,
부장님과 뜨겁게 한판,MOTOJYOSIDAXTUTAHITO,2018,일본,장편,"멜로/로맨스,드라마",개봉,츠키카게 쿠로우,
바람난 새엄마:밤이 외로워,BIDARAGIBONOYUUWAKU-09,2018,일본,장편,"멜로/로맨스,드라마",개봉,코메이,
바람난 가족:새엄마와 아들편,BIDARAGIBONOYUUWAKU-07,2018,일본,장편,"멜로/로맨스,드라마",개봉,코메이,
너를 만난 여름,My Best Summer,2019,중국,장편,"드라마,멜로/로맨스",개봉,장적사,
한낮의 피크닉,A Midday Picnic,2018,한국,옴니버스,드라마,개봉,"강동완,김한라,임오정",서울독립영화제
체인지오버,The Changeover,2017,뉴질랜드,장편,"판타지,멜로/로맨스",개봉,"미란다 하코트,스튜어트 맥켄지",
젊은 새엄마들 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김진수,(주)영화사가을
야한 여자:후배의 아내,TUMASIXTUKAKU-04,2018,일본,장편,"멜로/로맨스,드라마",개봉,마츠모토 미노루,
바람난 아내:질펀한 일탈,TUMASIXTUKAKU-03,2018,일본,장편,"멜로/로맨스,드라마",개봉,마츠모토 미노루,
남편친구들 무삭제판,,2018,한국,장편,"드라마,멜로/로맨스",개봉,최정자,(주)가온콘텐츠
트러블 위드 유,The Trouble with You,2018,프랑스,장편,"코미디,드라마",개봉,피에르 살바도리,
동키 킹,The Donkey King,2018,기타,장편,"애니메이션,코미디,가족",개봉,아지즈 진다니,
와인스타인,Untouchable,2019,미국,장편,"다큐멘터리,드라마",개봉,우르술라 맥팔레인,
뷰티풀 보이,Beautiful Boy,2018,미국,장편,드라마,개봉,펠릭스 반 그뢰닝엔,
데드 돈 다이,The Dead Don't Die,2019,미국,장편,"코미디,판타지,공포(호러)",개봉,짐 자무쉬,
람메르무어의 루치아,Lucia di Lammermoor,2019,독일,장편,"공연,드라마,멜로/로맨스",개봉,로랑 펠리,
데드 스쿼드: 죽은자들의 사원,Dead Squad: Temple of the Undead,2018,미국,장편,"액션,스릴러,어드벤처",개봉,도미니크 하우저,
더 룸,The Room,2019,"프랑스,룩셈부르크,벨기에",장편,"미스터리,스릴러",개봉,크리스티앙 볼크만,
적도의 꽃,The Flower on the Equator,1983,한국,장편,드라마,개봉,배창호,
친구엄마:처음엔 거부 나중엔 신음,BIJYUKUJYONOEROSU-01,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
엄마는 사랑이 필요해,BIJYUKUJYONOEROSU-02,2018,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
아내의여동생,,2019,한국,장편,멜로/로맨스,개봉,최성길,스마일컨텐츠
대물 남친:남편과는 다른 맛,WAKANTAIKEN-03,2018,일본,장편,"멜로/로맨스,드라마",개봉,사노 B사쿠,
나쁜 사랑:형수와 처제,BOKUTOANIYOME STORY,2017,일본,장편,"멜로/로맨스,드라마",개봉,카와사키 군지,
매디슨 카운티의 다리,The Bridges Of Madison County,1995,미국,장편,멜로/로맨스,개봉,클린트 이스트우드,"엠블린엔터테인먼트,말파소 프로덕션즈,워너 브러더스 픽쳐스"
"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",2019,한국,장편,애니메이션,개봉,시즈노 코분,(주)미디어캐슬
여배우들의 티타임,Nothing Like a Dame,2018,영국,장편,다큐멘터리,개봉,로저 미첼,
죽거나 혹은 나쁘거나,Die Bad,2000,한국,장편,"드라마,액션",개봉,류승완,"(주)외유내강,씨앤피엔터테인먼트(주)"
아름다운 비행 ,Fly Away Home,1996,미국,장편,"가족,드라마,어드벤처",개봉,캐롤 발라드,콜럼비아 픽쳐스 코포레이션
프리 윌리 ,Free Willy,1993,미국,장편,드라마,개봉,사이먼 윈서,워너브러더스 코리아(주)
위험한 상견례,Meet the In-Laws,2011,한국,장편,"코미디,멜로/로맨스",개봉,김진영,(주)전망좋은 영화사
나는 아빠다,I Am Father,2010,한국,장편,"액션,드라마",개봉,"전만배,이세영",(주)기억속의매미
체포왕,Officer of the Year,2011,한국,장편,"코미디,액션",개봉,임찬익,(주)씨네이천
마마,Mama,2011,한국,장편,드라마,개봉,최익환,"씨네주(유),㈜더드림앤드픽쳐스"
기생령,Ghastly,2011,한국,장편,공포(호러),개봉,고석진,"(주)코어콘텐츠미디어,(주)이스트스카이필름"
통증,Pain,2011,한국,장편,"멜로/로맨스,드라마",개봉,곽경택,"(주)트로피엔터테인먼트,(주)영화사축제,(주)미스터로맨스"
오늘,A Reason to Live,2011,한국,장편,드라마,개봉,이정향,(주)포시즌스카이컴퍼니 
가문의 영광5 - 가문의 귀환,Return of the Mafia,2012,한국,장편,코미디,개봉,정용기,(주)태원엔터테인먼트
자칼이 온다,Code Name : Jackal,2012,한국,장편,코미디,개봉,배형준,(주)노마드필름
음치 클리닉 ,Love Clinique,2012,한국,장편,"멜로/로맨스,코미디",개봉,김진영,(주)전망좋은 영화사
하루가 지나면,Day After Day,2019,한국,장편,드라마,후반작업,이도연,
정사 : 엄마친구 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김환,(주)영화사가을
옆집 친구 엄마 무삭제,,2019,한국,장편,멜로/로맨스,개봉,김진수,(주)영화사가을
관전녀,,2019,한국,장편,멜로/로맨스,개봉,계장혁,모히또필름
제미니 맨,Gemini Man,2019,미국,장편,"액션,드라마,SF",개봉,이안,
디어 마이 프렌드,Then Came You,2018,미국,장편,드라마,개봉,피터 허칭스,
터미네이터2 3D,Terminator II,1991,미국,장편,"액션,SF,스릴러",개봉,제임스 카메론,
형부를 탐하다 무삭제판,,2018,한국,장편,"드라마,멜로/로맨스",개봉,최정자,(주)가온콘텐츠
형수의 가슴골과 꽃팬티,Kindan Tosatsu,2019,일본,장편,성인물(에로),개봉,존 류지,
형수는 거유간호사,Dental Assistant of Brother's Wife 2,2019,일본,장편,성인물(에로),개봉,후지모리 기타로,
헌신하는 아내의 육체,Anatanotameni,2019,일본,장편,성인물(에로),개봉,사다오카 사다오,
준코가 가진 회사내 남자들,Bakunyu Kanshi Camera,2019,일본,장편,성인물(에로),개봉,존 류지,
정조관념 없는 아내,Sessononai Teishukuna Tsuma,2019,일본,장편,성인물(에로),개봉,이즈미 료이치,
일본 란제리 속옷모델을 소파에서,Hilarious Camera Episode 4,2019,일본,장편,성인물(에로),개봉,나카무라 켄지,
이자카야의 미인 주인딸,Targeted Mom & Daughter of Small Restaurant 2,2019,일본,장편,성인물(에로),개봉,다카하시 하루카,
옷 잘 벗는 예쁜 누나,,2019,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
여자 수영선수단의 음란한 회식,Orgy with Wild Swimming Girls,2019,일본,장편,성인물(에로),개봉,코지마 유키오,
승천하는 성감마사지,Erotic Massage for Tidy Library Lover,2019,일본,장편,멜로/로맨스,개봉,후지모리 타쿠야,
불륜애인 놀이,The Shakkin,2019,일본,장편,성인물(에로),개봉,오자와 토오루,
부장님께 복종하기로 한 여직원,Inwai Chokyo Misaki Kanna,2019,일본,장편,성인물(에로),개봉,존 류지,
모델 촬영후 폭풍정사,Hilarious Camera Episode 3,2019,일본,장편,멜로/로맨스,개봉,쿠라타 켄타로,
들키면 어쩌려고 - 아내의 대학선배,Hitoduma Seidorei Asahina Rumina,2019,일본,장편,성인물(에로),개봉,니시무라 켄지,
극상의 노예신혼녀,Hitoduma Seidorei Kanae Ruka,2019,일본,장편,성인물(에로),개봉,존 류지,
극락승천 마사지,Backside of Body-Washing Salon,2019,일본,장편,성인물(에로),개봉,사토 키쿠치,
그녀의 발정은 몸에서,Hitoduma Seidorei Sasaki Aki,2019,일본,장편,성인물(에로),개봉,존 류지,
결혼 전 일은 묻지말기,Mukashinokoto Barasaretaika,2019,일본,장편,성인물(에로),개봉,존 류지,
핑크소파의 색녀발정,Hilarious Camera Episode 2,2019,일본,장편,성인물(에로),개봉,쿠라타 켄타로,
착한 엄마 친구들,,2019,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
젊은 장모와 사고친 오후,Too Dirty Mother-in-Law 2,2019,일본,장편,성인물(에로),개봉,나베 아츠시,
우주전쟁 2019,Airwaves,2018,미국,장편,"SF,액션",개봉,도미닉 스미스,
예쁜 사촌누나와의 첫날밤,Divorced Female Cousin Wearing Mourning Dress,2019,일본,장편,성인물(에로),개봉,나카다니 유키오,
엉덩이가 이쁜 유부녀직원,Chunky Booty Housekeeper 3,2019,일본,장편,성인물(에로),개봉,나베 아츠시,
병아리 간호실습생의 마사지,Evil Mentor of Nursing Practice,2019,일본,장편,성인물(에로),개봉,타카시마 유키오,
만취해서 택시를 탄 여자들,Vigorous Taxi Driver,2019,일본,장편,성인물(에로),개봉,야마다 하타루,
마사지로 승천한 갸루걸,Sexual Massage for Tanned Girls,2019,일본,장편,성인물(에로),개봉,나베 아츠시,
뜨거운 제수씨의 몸탐험,Chubby Sister-in-Law,2019,일본,장편,성인물(에로),개봉,코지마 유키오,
동생의 여자들 - 감독판,,2019,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
남자기숙사 폭유미망인,Sexy Housemother of Men's Dormitory 2,2019,일본,장편,성인물(에로),개봉,후지모리 아키나,
꿀몸매의 모델촬영,Hilarious Camera Episode 5,2019,일본,장편,성인물(에로),개봉,쿠라타 유키오,
귀여운 사촌동생 갸루걸,Tanned Female Cousin,2019,일본,장편,성인물(에로),개봉,후지모리 하루카,
결혼 소개팅의 여직원,Revenge on Not Serious Matrimonial Agent,2019,일본,장편,성인물(에로),개봉,코지마 유키오,
가슴큰엄마들-무삭제,,2019,한국,장편,멜로/로맨스,개봉,차지민,스마일컨텐츠
욕정의 며느리 무삭제판,JOKYOSHITA GIFUTO DAIZAICYUNO MIKKAKAN,2018,일본,장편,"드라마,멜로/로맨스",개봉,코마고메 추,
트루 시크릿,Celle que vous croyez,2018,프랑스,장편,"드라마,멜로/로맨스",개봉,사피 네부,
오션스: 문어구출대작전,Happy Little Submarines 4: Adventure of Octopus,2014,중국,장편,애니메이션,개봉,헤 질리,
몬스터 하우스,GNOME ALONE,2017,캐나다,장편,"애니메이션,어드벤처",개봉,피터 레페니오티스,
이월,February,2017,한국,장편,드라마,개봉,김중현,(주)무비락
테러 라이브: 싸이코패스,Terror Tales,2016,미국,장편,공포(호러),개봉,지미 리 콤즈,
스크림: 허수아비의 저주,Curse of the Scarecrow,2018,영국,장편,공포(호러),개봉,루이자 워렌,
소피와 드래곤: 마법책의 비밀,The Princess and The Dragon,2018,러시아,장편,"애니메이션,판타지,어드벤처",개봉,마리나 네페도바,
세상의 종말을 예언하는 소년: 프로디지,Prodigy,2019,미국,장편,"드라마,스릴러",개봉,네이든 리온,
새엄마들 2019 - 무삭제,,2019,한국,장편,멜로/로맨스,개봉,왕지방,(주)소나무픽쳐스
2047 버추얼 레볼루션,Virtual Revolution,2019,미국,장편,"SF,액션",개봉,가이-로저 듀버트,
다운 어 다크 홀,Down a Dark Hall,2018,"미국,스페인",장편,"드라마,판타지,공포(호러)",개봉,로드리고 코르테스,
벨 칸토,Bel Canto,2018,미국,장편,"드라마,스릴러",개봉,폴 웨이츠,
로지,Rosy,2018,미국,장편,"멜로/로맨스,스릴러",개봉,제스 본드,
아메리칸 레슬러: 더 위저드,American Wrestler: The Wizard ,2016,미국,장편,드라마,개봉,알렉스 라나리벨로,
원정녀 1호의 사연 ,,2019,한국,장편,드라마,개봉,최성은,(주)영화사히트
윈체스터,Winchester,2018,"호주,미국",장편,"판타지,공포(호러),미스터리,스릴러",개봉,"마이클 스피어리그,피터 스피어이그",
사내 불륜 : 나를 여자로 만들어 준 남자,WATASIWO MODOSITA OTOKO,2019,일본,장편,드라마,개봉,,
어린 식모,,2019,한국,장편,"멜로/로맨스,드라마",개봉,노현진,(주)나우콘텐츠
등산의 참맛 무삭제판,,2018,한국,장편,"드라마,멜로/로맨스",개봉,한동호,(주)라온컴퍼니플러스
사이코패스,Psychopaths,2017,미국,장편,공포(호러),개봉,미키 키팅,
미드나잇 쇼타임,Sixty Minutes to Midnight,2017,캐나다,장편,액션,개봉,,
카르멘,Carmen                       ,2019,미국,장편,기타,개봉,,
클럽녀 섹스 다이어트,,2018,한국,장편,드라마,개봉,박은석,(주)씨맥스커뮤니케이션즈
아내의 친구,,2019,한국,장편,멜로/로맨스,개봉,이가온,(주)케이알씨지
남성 전용 요리 교실 : 여선생과 제자,OTTOWA SIRANAI KIJIMA MIO,2019,일본,장편,드라마,개봉,,
관계 : 특별한 형수 ,,2019,한국,장편,멜로/로맨스,개봉,김환,(주)영화사가을
막내 형수 - 무삭제판,,2019,한국,장편,멜로/로맨스,개봉,최우성,(주)컨텐츠 빌리지
보도드라이버: 떡마차 무삭제판,,2019,한국,장편,성인물(에로),개봉,이두희,두리컴
데스 에브리데이,The Campus,2018,미국,장편,공포(호러),개봉,,
헌팅 오브 힐하우스,The Haunting of Sharon Tate,2018,미국,장편,스릴러,개봉,다니엘 패런즈,
음란야도,,2019,한국,장편,멜로/로맨스,개봉,이가온,(주)케이알씨지
어린 아가씨,,2019,한국,장편,멜로/로맨스,개봉,이가온,(주)케이알씨지
여친의 맛 무삭제,,2019,한국,장편,드라마,개봉,윤중부,(주)씨맥스커뮤니케이션즈
맛있는 여상사 무삭제,,2019,한국,장편,드라마,개봉,윤중부,(주)씨맥스커뮤니케이션즈
아빠는 딸,Daddy Issues,2018,베트남,장편,코미디,개봉,오치아이 켄,
미이라 리턴즈,Mummy Rebirth,2019,미국,장편,"액션,공포(호러)",개봉,저스틴 프라이스,
내방에 일본여자가 있다 무삭제판,,2018,한국,장편,성인물(에로),개봉,노세기,
내 사촌 누나 무삭제,,2019,한국,장편,드라마,개봉,윤중부,(주)씨맥스커뮤니케이션즈
파도가 지나간 자리,The Light Between Oceans,2016,"미국,뉴질랜드,영국",장편,"드라마,멜로/로맨스",개봉,데릭 시엔프랜스,
러브리스,Loveless,2017,"러시아,프랑스,독일",장편,드라마,개봉,안드레이 즈비아긴체프,
해피엔드,Happy End,2017,"프랑스,오스트리아 ,독일",장편,드라마,개봉,미카엘 하네케,
패터슨,Paterson,2016,"프랑스,독일,미국",장편,드라마,개봉,짐 자무쉬,
엄마 친구:여자로 보일 때2,BOKUNOSYUKUBO-03,2017,일본,장편,"멜로/로맨스,드라마",개봉,키무라 히로유키,
시아버지의 유혹,Father-in-law's temptation,2019,일본,장편,"성인물(에로),드라마",개봉,잠파,
맛있는엄마들,,2019,한국,장편,멜로/로맨스,개봉,이철,스마일컨텐츠
내 여자의 남자들,,2019,한국,장편,"드라마,멜로/로맨스",개봉,최정자,(주)가온콘텐츠
남편 상사의 노예가 된 아내,Greedy boss,2019,일본,장편,"성인물(에로),드라마",개봉,호쿠시 겐지,
나쁜 섹스:겁탈 당한 아내2,JYOITOBUKANOTUMA-9,2018,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
뷰티 인사이드,The Beauty Inside,2015,한국,장편,"판타지,멜로/로맨스",개봉,백,(주)용필름
헤픈 새엄마:참을 수 없는 날,BIDARAGIBONOYUUWAKU-06,2018,일본,장편,"멜로/로맨스,드라마",개봉,코메이,
친구엄마 : 참을 수 없는 날 2 무삭제,,2018,한국,장편,멜로/로맨스,개봉,정완경,(주)영화사가을
친구누나 일본판 2 무삭제,,2018,한국,장편,멜로/로맨스,개봉,정완경,(주)영화사가을
처제의 일기,,2019,한국,장편,멜로/로맨스,개봉,정진호,모히또필름
유흥1번가 : 클럽 그레이스,Champaign Girls,2018,일본,장편,멜로/로맨스,개봉,야마우치 다이스케,
오피스텔-잘 하는 애들로 무삭제판,,2019,한국,장편,멜로/로맨스,개봉,천성준,(주)케이피에이기획
스티븐 시걸의 제네럴 커맨더,General Commander,2019,미국,장편,"범죄,액션",개봉,"로스 W. 클락슨,필리페 마르티네즈",
슈퍼 햄찌,Supermarsu,2017,핀란드,장편,"애니메이션,가족,판타지",개봉,주나 테나,
